Các tỉnh thành,Mật độ dân số,Dân số trung bình,Tỷ lệ giới tính,Tỷ lệ gia tăng dân số,Lực lương lao động từ 15 tuổi trở lên,Vùng,Năm
Lạng Sơn,95,788.7,104.7,0.75,487.72,Trung du và miền núi phía Bắc,2020
Bắc Giang,473,1841.6,101.01,1.72,1102.8,Trung du và miền núi phía Bắc,2020
Phú Thọ,419,1481.9,98.57,1.06,847.42,Trung du và miền núi phía Bắc,2020
Điện Biên,64,613.5,103.13,1.96,353.09,Trung du và miền núi phía Bắc,2020
Lai Châu,52,469.8,103.04,1.55,284.14,Trung du và miền núi phía Bắc,2020
Sơn La,90,1270.6,102.94,1.43,770.54,Trung du và miền núi phía Bắc,2020
Hòa Bình,188,861.2,101,0.63,531.02,Trung du và miền núi phía Bắc,2020
Thanh Hóa,330,3664.9,98.81,0.53,2225.48,Bắc Trung bộ và duyên hải miền Trung,2020
Nghệ An,204,3365.2,100.28,0.84,1926.96,Bắc Trung bộ và duyên hải miền Trung,2020
Hà Tĩnh,216,1296.6,98.12,0.49,671.83,Bắc Trung bộ và duyên hải miền Trung,2020
Quảng Bình,113,902,100.83,0.6,505.26,Bắc Trung bộ và duyên hải miền Trung,2020
Quảng Trị,138,637.3,98.33,0.6,348.11,Bắc Trung bộ và duyên hải miền Trung,2020
Thừa Thiên Huế,231,1133.7,98.06,0.37,583.7,Bắc Trung bộ và duyên hải miền Trung,2020
Đà Nẵng,910,1169.5,97.91,2.48,586.19,Bắc Trung bộ và duyên hải miền Trung,2020
Quảng Nam,142,1505,96.82,0.51,891.18,Bắc Trung bộ và duyên hải miền Trung,2020
Quảng Ngãi,239,1233.4,97.76,0.12,731.69,Bắc Trung bộ và duyên hải miền Trung,2020
Bình Định,245,1487.9,97.05,0.01,864.5,Bắc Trung bộ và duyên hải miền Trung,2020
Phú Yên,174,874.3,101.18,0.13,510.68,Bắc Trung bộ và duyên hải miền Trung,2020
Khánh Hòa,241,1240.4,99.19,0.62,671.7,Bắc Trung bộ và duyên hải miền Trung,2020
Ninh Thuận,177,593.6,102.08,0.44,328.29,Bắc Trung bộ và duyên hải miền Trung,2020
Bình Thuận,109,5932.1,101.13,0.57,712.01,Bắc Trung bộ và duyên hải miền Trung,2020
Kon Tum,57,555.6,100.83,2.24,312.8,Tây Nguyên,2020
Gia Lai,99,1541.8,100.57,1.43,898.84,Tây Nguyên,2020
Đắk Lắk,145,1886.9,101.87,0.77,1101.7,Tây Nguyên,2020
Đắk Nông,98,637.9,104.98,1.93,373.21,Tây Nguyên,2020
Lâm Đồng,134,1309.8,101.43,0.8,770.03,Tây Nguyên,2020
Bình Phước,147,1011.1,101.64,1.33,603.84,Đông Nam Bộ,2020
Tây Ninh,292,1178.3,100.11,0.57,692.83,Đông Nam Bộ,2020
Bình Dương,958,2580.6,105,5.06,1650.85,Đông Nam Bộ,2020
Đồng Nai,542,3177.4,103.12,2.05,1767.62,Đông Nam Bộ,2020
Bà Rịa - Vũng Tàu,590,1167.9,98.3,1.36,597.38,Đông Nam Bộ,2020
Hồ Chí Minh,4476,9227.6,94.93,2.09,4769.63,Đông Nam Bộ,2020
Long An,381,1713.7,99.68,1.09,1029.33,Đồng bằng sông Cửu Long,2020
Tiền Giang,706,1772.5,96.15,0.35,1112.13,Đồng bằng sông Cửu Long,2020
Bến Tre,540,1292.4,96.03,0.26,827.08,Đồng bằng sông Cửu Long,2020
Trà Vinh,428,1009.9,96.85,0.06,561.34,Đồng bằng sông Cửu Long,2020
Vĩnh Long,670,1023,97.09,0.03,603.6,Đồng bằng sông Cửu Long,2020
Đồng Tháp,473,1600,99.81,0.08,917.35,Đồng bằng sông Cửu Long,2020
An Giang,539,1904.5,98.61,-0.15,985.55,Đồng bằng sông Cửu Long,2020
Kiên Giang,272,1728.9,102.84,0.3,923.98,Đồng bằng sông Cửu Long,2020
Cần Thơ,862,1240.7,98.65,0.39,716.78,Đồng bằng sông Cửu Long,2020
Hậu Giang,450,729.8,101.38,-0.33,402.33,Đồng bằng sông Cửu Long,2020
Sóc Trăng,361,1195.7,99.34,-0.32,641.91,Đồng bằng sông Cửu Long,2020
Bạc Liêu,342,913.5,100.15,0.58,507.76,Đồng bằng sông Cửu Long,2020
Cà Mau,229,1193.9,102.64,-0.03,669.77,Đồng bằng sông Cửu Long,2020
