RankID,name,net_worth,YEAR,MONTH,DAY,age,nationality
74,Salman bin Abdulaziz Al Saud,$20 ,1935,12,31,86,Saudi Arabia
75,Alexey Mordashov,$20 ,1965,9,26,56,Russia
76,John Menard,$20 ,1940,1,22,82,United States of America
77,Elaine Marshall,$20 ,1945,11,18,76,United States of America
78,Rupert Murdoch,$20 ,1931,3,11,91,Australia
79,Dan Gilbert,$20 ,1962,1,17,60,United States of America
80,Leonid Mikhelson,$20 ,1955,8,11,67,Russia
81,Pallonji Mistry,$19 ,2029,6,1,93,India
82,Susanne Klatten,$19 ,1962,4,28,60,Germany
83,Eduardo Saverin,$19 ,1982,3,19,40,Brazil
84,Vladimir Lisin,$19 ,1956,5,7,66,Russia
85,James Ratcliffe,$19 ,1952,10,18,69,United Kingdom
86,Laurene Powell Jobs,$19 ,1963,11,6,58,United States of America
87,Lakshmi Mittal,$18 ,1950,9,2,71,India
88,David & Simon Reuben,$18 ,1941,1,1,81,United Kingdom
89,Sheikh Khalifa Bin Zayed Al Nahyan,$18 ,1948,1,25,74,United Arab Emirates
90,Alisher Usmanov,$18 ,1953,9,9,68,Russia
91,Lukas Walton,$18 ,1953,9,19,36,United States of America
92,Serge Dassault,$17.30 ,2025,4,4,97,France
93,Pavel Durov,$17 ,1984,10,10,37,Russia
94,Donald Bren,$17 ,1932,5,11,90,United States of America
95,Thomas Peterffy,$17 ,1944,9,30,77,United States of America
96,Prince Al Waleed Bin Talal Alsaud,$17 ,1955,3,7,67,Saudi Arabia
97,Harold Hamm,$17 ,1945,12,11,76,United States of America
98,Viktor Vekselberg,$17 ,1957,4,14,65,Russia
99,Steven Cohen,$16 ,1956,6,11,66,United States of America
100,Stefan Quandt,$16 ,1966,5,9,56,Germany
