item_id,shop_id,Brand,sold_quantity,stock, discount_price ,original_price,discount,liked_count,rating_star,number_of_ratings
10369100843,11171175,LG,296,7765," 99,400,000,000 ",1.644E+11,40%,14,4.86,14
5847963058,11171175,LG,2648,14902," 154,500,000,000 ",1.645E+11,50%,1101,4.67,40
6848380097,11171175,LG,1834,12542," 154,500,000,000 ",1.645E+11,50%,3669,4.6,48
5247964211,11171175,LG,3617,10869," 154,700,000,000 ",1.647E+11,50%,3616,4.7,57
8330420084,11171175,LG,1941,9837," 154,700,000,000 ",1.647E+11,47%,37,4.75,24
8130409991,11171175,LG,1710,9876," 154,800,000,000 ",1.648E+11,50%,46,4.5,22
3648475724,11171175,LG,1886,16791," 154,900,000,000 ",1.649E+11,50%,675,4.67,27
4450305713,11171175,LG,2029,41356," 154,900,000,000 ",1.649E+11,50%,24,4.48,21
5547964866,11171175,LG,2543,11020," 154,900,000,000 ",1.649E+11,50%,1849,4.61,41
6782985850,11171175,LG,1846,14469," 154,900,000,000 ",1.649E+11,49%,65,4.62,29
10287896095,25143432,VIVO,117,12443," 82,900,000,000 ",1.649E+11,50%,17,4.61,18
16409569588,25143432,VIVO,133,5703," 82,900,000,000 ",1.649E+11,50%,41,4.25,16
17809582219,25143432,VIVO,122,12432," 82,900,000,000 ",1.649E+11,50%,24,4.62,13
282206480,11171175,SONY,1205,7319," 94,700,000,000 ",1.65E+11,50%,1011,4.47,15
1787346555,108110554,SONY,185,7297," 99,800,000,000 ",1.65E+11,40%,49,4.58,12
1863014461,108110554,SONY,109,15732," 99,800,000,000 ",1.65E+11,46%,13,4.5,6
3549575381,11171175,LG,1587,13909," 87,900,000,000 ",1.65E+11,50%,31,4.72,18
3952467269,108110554,SONY,212,19744," 94,800,000,000 ",1.65E+11,46%,9,4.6,10
4252540290,309929726,SAMSUNG,96,20896," 84,800,000,000 ",1.65E+11,49%,863,5,2
4469437480,25143432,SAMSUNG,109,14396," 89,800,000,000 ",1.65E+11,46%,1,5,8
4952372324,108110554,LG,156,12631," 94,800,000,000 ",1.65E+11,44%,15,4.44,9
