ID,Năm,Loại chi,Chi chi tiết,Tên đơn vị,"Số tiền
  (triệu đồng)"
630,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Xây dựng,
631,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Bộ Xây dựng,
632,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Xây dựng,"98,087"
633,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Xây dựng,"7,651"
634,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Xây dựng,"36,287"
635,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Xây dựng,0
636,2005,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Xây dựng,0
637,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Xây dựng,"10,511"
638,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Xây dựng,"13,018"
639,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Xây dựng,0
640,2005,Chi thường xuyên,Chi khác,Bộ Xây dựng,0
641,2005,Chi chương trình mục tiêu,,Bộ Xây dựng,"10,365"
642,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Thuỷ sản,"123,142"
643,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Thuỷ sản,"9,700"
644,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Bộ Thuỷ sản,
645,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Thuỷ sản,"14,618"
646,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Thuỷ sản,0
647,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Thuỷ sản,"45,589"
648,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Thuỷ sản,0
649,2005,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Thuỷ sản,0
650,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Thuỷ sản,"42,646"
651,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Thuỷ sản,"13,302"
652,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Thuỷ sản,"1,570"
653,2005,Chi thường xuyên,Chi khác,Bộ Thuỷ sản,3
654,2005,Chi chương trình mục tiêu,,Bộ Thuỷ sản,"4,404"
655,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Văn hoá - Thông tin,"298,735"
656,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Văn hoá - Thông tin,
657,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Bộ Văn hoá - Thông tin,
658,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Văn hoá - Thông tin,"86,241"
659,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Văn hoá - Thông tin,0
660,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Văn hoá - Thông tin,"3,462"
661,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Văn hoá - Thông tin,"386,620"
662,2005,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Văn hoá - Thông tin,"1,392"
663,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Văn hoá - Thông tin,317
664,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Văn hoá - Thông tin,"21,177"
665,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Văn hoá - Thông tin,"18,165"
666,2005,Chi thường xuyên,Chi khác,Bộ Văn hoá - Thông tin,0
667,2005,Chi chương trình mục tiêu,,Bộ Văn hoá - Thông tin,"80,077"
668,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Giáo dục và Đào tạo,"361,689"
669,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Giáo dục và Đào tạo,
670,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Bộ Giáo dục và Đào tạo,
671,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Giáo dục và Đào tạo,"1,187,257"
672,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Giáo dục và Đào tạo,0
673,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Giáo dục và Đào tạo,"131,236"
674,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Giáo dục và Đào tạo,0
675,2005,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Giáo dục và Đào tạo,"3,621"
676,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Giáo dục và Đào tạo,"2,405"
677,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Giáo dục và Đào tạo,"20,876"
678,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Giáo dục và Đào tạo,0
679,2005,Chi thường xuyên,Chi khác,Bộ Giáo dục và Đào tạo,0
680,2005,Chi chương trình mục tiêu,,Bộ Giáo dục và Đào tạo,"188,454"
681,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Nông nghiệp và PTNT,"2,190,151"
682,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Nông nghiệp và PTNT,
683,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Bộ Nông nghiệp và PTNT,"32,977"
684,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Nông nghiệp và PTNT,"246,696"
685,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Nông nghiệp và PTNT,"21,934"
686,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Nông nghiệp và PTNT,"244,827"
687,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Nông nghiệp và PTNT,0
688,2005,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Nông nghiệp và PTNT,352
689,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Nông nghiệp và PTNT,"417,723"
690,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Nông nghiệp và PTNT,"43,867"
691,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Nông nghiệp và PTNT,"12,043"
692,2005,Chi thường xuyên,Chi khác,Bộ Nông nghiệp và PTNT,0
693,2005,Chi chương trình mục tiêu,,Bộ Nông nghiệp và PTNT,"73,365"
694,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Công nghiệp,"118,535"
695,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Công nghiệp,
696,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Bộ Công nghiệp,
697,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Công nghiệp,"183,516"
698,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Công nghiệp,"3,311"
699,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Công nghiệp,"77,333"
700,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Công nghiệp,0
701,2005,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Công nghiệp,0
702,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Công nghiệp,"9,787"
703,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Công nghiệp,"20,578"
704,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Công nghiệp,0
705,2005,Chi thường xuyên,Chi khác,Bộ Công nghiệp,0
706,2005,Chi chương trình mục tiêu,,Bộ Công nghiệp,"17,668"
707,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Kế hoạch và Đầu tư,"35,830"
708,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Kế hoạch và Đầu tư,"1,000"
709,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Bộ Kế hoạch và Đầu tư,
710,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Kế hoạch và Đầu tư,"3,934"
711,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Kế hoạch và Đầu tư,0
712,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Kế hoạch và Đầu tư,"11,259"
713,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Kế hoạch và Đầu tư,0
714,2005,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Kế hoạch và Đầu tư,0
715,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Kế hoạch và Đầu tư,"9,896"
716,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Kế hoạch và Đầu tư,"33,772"
717,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Kế hoạch và Đầu tư,60
718,2005,Chi thường xuyên,Chi khác,Bộ Kế hoạch và Đầu tư,0
719,2005,Chi chương trình mục tiêu,,,500
720,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Y tế,"439,904"
721,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Y tế,
722,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Bộ Y tế,"2,408"
723,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Y tế,"189,423"
724,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Y tế,"818,448"
725,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Y tế,"40,180"
726,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Y tế,0
727,2005,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Y tế,615
728,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Y tế,"2,761"
729,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Y tế,"19,662"
730,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Y tế,33
731,2005,Chi thường xuyên,Chi khác,Bộ Y tế,0
732,2005,Chi chương trình mục tiêu,,Bộ Y tế,"234,265"
733,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Khoa học và Công nghệ,"40,479"
734,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Khoa học và Công nghệ,
735,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Bộ Khoa học và Công nghệ,
736,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Khoa học và Công nghệ,900
737,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Khoa học và Công nghệ,0
738,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Khoa học và Công nghệ,"201,591"
739,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Khoa học và Công nghệ,0
740,2005,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Khoa học và Công nghệ,0
741,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Khoa học và Công nghệ,806
742,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Khoa học và Công nghệ,"24,545"
743,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Khoa học và Công nghệ,0
744,2005,Chi thường xuyên,Chi khác,Bộ Khoa học và Công nghệ,0
745,2005,Chi chương trình mục tiêu,,Bộ Khoa học và Công nghệ,200
746,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Tài nguyên và Môi trường,"109,295"
747,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Tài nguyên và Môi trường,
748,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Bộ Khoa học và Công nghệ,
749,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Tài nguyên và Môi trường,"17,507"
750,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Tài nguyên và Môi trường,0
751,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Tài nguyên và Môi trường,"51,918"
752,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Tài nguyên và Môi trường,0
753,2005,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Tài nguyên và Môi trường,684
754,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Tài nguyên và Môi trường,"625,905"
755,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Tài nguyên và Môi trường,"26,102"
756,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Tài nguyên và Môi trường,50
757,2005,Chi thường xuyên,Chi khác,Bộ Tài nguyên và Môi trường,0
758,2005,Chi chương trình mục tiêu,,Bộ Tài nguyên và Môi trường,"2,549"
759,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Bưu chính- Viễn thông,"77,706"
760,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Bưu chính- Viễn thông,
761,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Bộ Bưu chính- Viễn thông,
762,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Bưu chính- Viễn thông,381
763,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Bưu chính- Viễn thông,0
764,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Bưu chính- Viễn thông,"4,332"
765,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Bưu chính- Viễn thông,0
766,2005,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Bưu chính- Viễn thông,0
767,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Bưu chính- Viễn thông,"1,666"
768,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Bưu chính- Viễn thông,"22,274"
769,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Bưu chính- Viễn thông,42
770,2005,Chi thường xuyên,Chi khác,Bộ Bưu chính- Viễn thông,0
771,2005,Chi chương trình mục tiêu,,Bộ Bưu chính- Viễn thông,0
772,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Nội vụ,"93,160"
773,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Nội vụ,"1,764"
774,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Bộ Nội vụ,
775,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Nội vụ,"40,013"
776,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Nội vụ,0
777,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Nội vụ,"7,266"
778,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Nội vụ,0
779,2005,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Nội vụ,0
780,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Nội vụ,"9,106"
781,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Nội vụ,"40,809"
782,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Nội vụ,0
783,2005,Chi thường xuyên,Chi khác,Bộ Nội vụ,0
784,2005,Chi chương trình mục tiêu,,Bộ Nội vụ,"1,500"
785,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Thanh tra Nhà nước,"5,371"
786,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Thanh tra Nhà nước,
787,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Thanh tra Nhà nước,
788,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Thanh tra Nhà nước,"1,834"
789,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Thanh tra Nhà nước,0
790,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Thanh tra Nhà nước,"2,551"
791,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Thanh tra Nhà nước,0
792,2005,Chi thường xuyên,Chi đảm bảo xã hội,Thanh tra Nhà nước,0
793,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Thanh tra Nhà nước,0
794,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Thanh tra Nhà nước,"19,982"
795,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Thanh tra Nhà nước,80
796,2005,Chi thường xuyên,Chi khác,Thanh tra Nhà nước,0
797,2005,Chi chương trình mục tiêu,,Thanh tra Nhà nước,0
798,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Ngân hàng Nhà nước,"9,357"
799,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Ngân hàng Nhà nước,
800,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Ngân hàng Nhà nước,
801,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Ngân hàng Nhà nước,"26,625"
802,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Ngân hàng Nhà nước,0
803,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Ngân hàng Nhà nước,944
804,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Ngân hàng Nhà nước,0
805,2005,Chi thường xuyên,Chi đảm bảo xã hội,Ngân hàng Nhà nước,0
806,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Ngân hàng Nhà nước,0
807,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Ngân hàng Nhà nước,170
808,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Ngân hàng Nhà nước,0
809,2005,Chi thường xuyên,Chi khác,Ngân hàng Nhà nước,0
810,2005,Chi chương trình mục tiêu,,Ngân hàng Nhà nước,"1,000"
811,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Uỷ ban Thể dục thể thao,"48,474"
812,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Uỷ ban Thể dục thể thao,
813,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Uỷ ban Thể dục thể thao,
814,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Uỷ ban Thể dục thể thao,"24,899"
815,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Uỷ ban Thể dục thể thao,"2,548"
816,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Uỷ ban Thể dục thể thao,"4,002"
817,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Uỷ ban Thể dục thể thao,"176,622"
818,2005,Chi thường xuyên,Chi đảm bảo xã hội,Uỷ ban Thể dục thể thao,0
819,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Uỷ ban Thể dục thể thao,20
820,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Uỷ ban Thể dục thể thao,"5,614"
821,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Uỷ ban Thể dục thể thao,0
822,2005,Chi thường xuyên,Chi khác,Uỷ ban Thể dục thể thao,263
823,2005,Chi chương trình mục tiêu,,Uỷ ban Thể dục thể thao,"1,000"
824,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Uỷ ban Dân tộc,"4,650"
825,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Uỷ ban Dân tộc,
826,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Uỷ ban Dân tộc,
827,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Uỷ ban Dân tộc,"1,680"
828,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Uỷ ban Dân tộc,0
829,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Uỷ ban Dân tộc,"1,231"
830,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Uỷ ban Dân tộc,90
831,2005,Chi thường xuyên,Chi đảm bảo xã hội,Uỷ ban Dân tộc,300
832,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Uỷ ban Dân tộc,881
833,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Uỷ ban Dân tộc,"13,904"
834,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Uỷ ban Dân tộc,"42,462"
835,2005,Chi thường xuyên,Chi khác,Uỷ ban Dân tộc,0
836,2005,Chi chương trình mục tiêu,,Uỷ ban Dân tộc,"1,115"
837,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,"Uỷ ban Dân số, gia đình và trẻ em",452
838,2005,Chi đầu tư phát triển,Chi ĐTPT khác,"Uỷ ban Dân số, gia đình và trẻ em",
839,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,"Uỷ ban Dân số, gia đình và trẻ em",
840,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN","Uỷ ban Dân số, gia đình và trẻ em",430
841,2005,Chi thường xuyên,Chi sự nghiệp Y tế,"Uỷ ban Dân số, gia đình và trẻ em",0
842,2005,Chi thường xuyên,Chi sự nghiệp KHCN,"Uỷ ban Dân số, gia đình và trẻ em","2,209"
843,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT","Uỷ ban Dân số, gia đình và trẻ em",0
844,2005,Chi thường xuyên,Chi đảm bảo xã hội,"Uỷ ban Dân số, gia đình và trẻ em","12,352"
845,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,"Uỷ ban Dân số, gia đình và trẻ em",0
846,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể","Uỷ ban Dân số, gia đình và trẻ em","9,316"
847,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,"Uỷ ban Dân số, gia đình và trẻ em",70
848,2005,Chi thường xuyên,Chi khác,"Uỷ ban Dân số, gia đình và trẻ em",0
849,2005,Chi chương trình mục tiêu,,"Uỷ ban Dân số, gia đình và trẻ em","51,590"
850,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Tổng cục Du lịch,"13,262"
851,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Tổng cục Du lịch,
852,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Tổng cục Du lịch,
853,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Tổng cục Du lịch,"9,282"
854,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Tổng cục Du lịch,0
855,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Tổng cục Du lịch,"3,132"
856,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Tổng cục Du lịch,0
857,2005,Chi thường xuyên,Chi đảm bảo xã hội,Tổng cục Du lịch,0
858,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Tổng cục Du lịch,"20,718"
859,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Tổng cục Du lịch,"8,728"
860,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Tổng cục Du lịch,0
861,2005,Chi thường xuyên,Chi khác,Tổng cục Du lịch,0
862,2005,Chi chương trình mục tiêu,,Tổng cục Du lịch,"2,090"
863,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Tổng cục Thống kê,"24,483"
864,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Tổng cục Thống kê,
865,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Tổng cục Thống kê,
866,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Tổng cục Thống kê,"6,494"
867,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Tổng cục Thống kê,0
868,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Tổng cục Thống kê,"2,863"
869,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Tổng cục Thống kê,0
870,2005,Chi thường xuyên,Chi đảm bảo xã hội,Tổng cục Thống kê,0
871,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Tổng cục Thống kê,0
872,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Tổng cục Thống kê,"193,041"
873,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Tổng cục Thống kê,0
874,2005,Chi thường xuyên,Chi khác,Tổng cục Thống kê,0
875,2005,Chi chương trình mục tiêu,,Tổng cục Thống kê,0
876,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Ban Tôn giáo Chính phủ,"7,677"
877,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Ban Tôn giáo Chính phủ,
878,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Ban Tôn giáo Chính phủ,
879,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Ban Tôn giáo Chính phủ,180
880,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Ban Tôn giáo Chính phủ,0
881,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Ban Tôn giáo Chính phủ,0
882,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Ban Tôn giáo Chính phủ,0
883,2005,Chi thường xuyên,Chi đảm bảo xã hội,Ban Tôn giáo Chính phủ,0
884,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Ban Tôn giáo Chính phủ,"1,555"
885,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Ban Tôn giáo Chính phủ,"9,487"
886,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Ban Tôn giáo Chính phủ,140
887,2005,Chi thường xuyên,Chi khác,Ban Tôn giáo Chính phủ,0
888,2005,Chi chương trình mục tiêu,,Ban Tôn giáo Chính phủ,0
889,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Ban Cơ yếu Chính phủ,"30,219"
890,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Ban Cơ yếu Chính phủ,
891,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Ban Cơ yếu Chính phủ,"2,346"
892,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Ban Cơ yếu Chính phủ,"13,081"
893,2005,Chi thường xuyên,Chi sự nghiệp Y tế,Ban Cơ yếu Chính phủ,0
894,2005,Chi thường xuyên,Chi sự nghiệp KHCN,Ban Cơ yếu Chính phủ,"1,238"
895,2005,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Ban Cơ yếu Chính phủ,0
896,2005,Chi thường xuyên,Chi đảm bảo xã hội,Ban Cơ yếu Chính phủ,0
897,2005,Chi thường xuyên,Chi sự nghiệp Kinh tế,Ban Cơ yếu Chính phủ,104
898,2005,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Ban Cơ yếu Chính phủ,0
899,2005,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Ban Cơ yếu Chính phủ,0
900,2005,Chi thường xuyên,Chi khác,Ban Cơ yếu Chính phủ,"88,869"
901,2005,Chi chương trình mục tiêu,,Ban Cơ yếu Chính phủ,999
902,2005,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Uỷ ban TW Mặt trận Tổ quốc VN,485
903,2005,Chi đầu tư phát triển,Chi ĐTPT khác,Uỷ ban TW Mặt trận Tổ quốc VN,
904,2005,Chi đầu tư phát triển,Chi dự trữ quốc gia,Uỷ ban TW Mặt trận Tổ quốc VN,
905,2005,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Uỷ ban TW Mặt trận Tổ quốc VN,280
