ID,Năm,Loại chi,Chi chi tiết,Tên đơn vị,"Số tiền
  (triệu đồng)"
129,2004,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Lao động - Thương binh - Xã hội,"36,366"
130,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Lao động - Thương binh - Xã hội,"1,851"
131,2004,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Lao động - Thương binh - Xã hội,"24,788"
132,2004,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Lao động - Thương binh - Xã hội,200
133,2004,Chi thường xuyên,Chi khác,Bộ Lao động - Thương binh - Xã hội,
134,2004,Chi chương trình mục tiêu,,Bộ Lao động - Thương binh - Xã hội,"21,934"
135,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Giao thông vận tải,"5,360,576"
136,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Giao thông vận tải,
137,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Giao thông vận tải,"127,790"
138,2004,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Giao thông vận tải,"29,692"
139,2004,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Giao thông vận tải,"30,382"
140,2004,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Giao thông vận tải,
141,2004,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Giao thông vận tải,
142,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Giao thông vận tải,"1,422,607"
143,2004,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Giao thông vận tải,"27,150"
144,2004,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Giao thông vận tải,150
145,2004,Chi thường xuyên,Chi khác,Bộ Giao thông vận tải,
146,2004,Chi chương trình mục tiêu,,Bộ Giao thông vận tải,"15,819"
147,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Xây dựng,"378,988"
148,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Xây dựng,
149,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Xây dựng,"94,958"
150,2004,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Xây dựng,"6,951"
151,2004,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Xây dựng,"41,582"
152,2004,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Xây dựng,
153,2004,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Xây dựng,
154,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Xây dựng,"11,684"
155,2004,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Xây dựng,"9,825"
156,2004,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Xây dựng,
157,2004,Chi thường xuyên,Chi khác,Bộ Xây dựng,
158,2004,Chi chương trình mục tiêu,,Bộ Xây dựng,"12,846"
159,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Thuỷ sản,"109,061"
160,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Thuỷ sản,"7,045"
161,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Thuỷ sản,"15,815"
162,2004,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Thuỷ sản,
163,2004,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Thuỷ sản,"34,364"
164,2004,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Thuỷ sản,70
165,2004,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Thuỷ sản,
166,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Thuỷ sản,"42,191"
167,2004,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Thuỷ sản,"10,486"
168,2004,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Thuỷ sản,"1,456"
169,2004,Chi thường xuyên,Chi khác,Bộ Thuỷ sản,
170,2004,Chi chương trình mục tiêu,,Bộ Thuỷ sản,"4,553"
171,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Văn hoá - Thông tin,"230,729"
172,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Văn hoá - Thông tin,
173,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Văn hoá - Thông tin,"71,793"
174,2004,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Văn hoá - Thông tin,
175,2004,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Văn hoá - Thông tin,"2,412"
176,2004,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Văn hoá - Thông tin,"295,005"
177,2004,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Văn hoá - Thông tin,633
178,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Văn hoá - Thông tin,651
179,2004,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Văn hoá - Thông tin,"13,421"
180,2004,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Văn hoá - Thông tin,"21,756"
181,2004,Chi thường xuyên,Chi khác,Bộ Văn hoá - Thông tin,
182,2004,Chi chương trình mục tiêu,,Bộ Văn hoá - Thông tin,"72,017"
183,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Giáo dục và Đào tạo,"282,425"
184,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Giáo dục và Đào tạo,
